temperature,humidity,wind,pressure
29,60,82,902
21,37,25,1082
25,67,130,985
5,50,119,1043
10,20,8,912
-5,84,127,1013
22,43,27,997
26,99,116,943
44,81,14,1037
37,51,23,1096
10,41,117,932
-8,12,39,1065
36,67,44,1049
-8,26,102,1005
27,47,80,1004
14,20,150,955
44,0,124,1005
-2,6,69,984
6,43,0,976
24,40,118,950
2,6,94,1089
33,95,105,917
41,10,91,1018
16,23,103,1078
43,98,55,1009
27,5,32,978
-17,90,137,1047
27,22,119,916
11,3,114,959
15,15,60,975
35,82,109,1059
3,36,145,903
1,46,112,1026
3,58,98,1079
-2,95,62,946
-4,12,139,1057
19,15,85,963
-9,68,143,948
-3,61,29,973
30,51,12,928
25,14,107,954
-11,41,31,1035
-10,73,149,1066
3,44,21,1050
28,63,17,1084
31,65,50,1083
6,24,4,1049
25,93,57,961
20,83,106,990
11,45,149,953
